board_position,player_white,voc,move_time,elo,n_candidates,ply
8/ppb1k3/4pp2/1PP2p2/8/P4N2/5PPP/3b2K1,False,0.0,2,2113,5,0
8/ppb1k3/4pp2/1PP2p2/8/P4b2/5PPP/6K1,True,0.0,1,2083,5,0
8/ppb1k3/4pp2/1PP2p2/8/P4P2/5P1P/6K1,False,0.0,3,2113,5,0
8/p1b1k3/1p2pp2/1PP2p2/8/P4P2/5P1P/6K1,True,0.0,1,2083,5,0
8/p1b1k3/1P2pp2/1P3p2/8/P4P2/5P1P/6K1,False,0.0,1,2113,5,0
8/p3k3/1b2pp2/1P3p2/8/P4P2/5P1P/6K1,True,0.0,3,2083,5,0
8/p3k3/1b2pp2/1P3p2/P7/5P2/5P1P/6K1,False,0.0,2,2113,5,0
8/p3k3/1b3p2/1P2pp2/P7/5P2/5P1P/6K1,True,0.0,1,2083,5,0
8/p3k3/1b3p2/1P2pp2/P7/5P2/5PKP/8,False,0.0,1,2113,5,0
8/p4k2/1b3p2/1P2pp2/P7/5P2/5PKP/8,True,0.0,4,2083,5,0
8/p4k2/1b3p2/1P2pp2/P7/5PK1/5P1P/8,False,0.0,1,2113,5,0
8/p7/1b3pk1/1P2pp2/P7/5PK1/5P1P/8,True,0.0,5,2083,5,0
8/p7/1b3pk1/1P2pp2/P6P/5PK1/5P2/8,False,0.0,2,2113,5,0
8/p7/1b3p2/1P2pp1k/P6P/5PK1/5P2/8,True,0.0,1,2083,5,0
8/p7/1b3p2/1P2pp1k/P4P1P/6K1/5P2/8,False,0.0,5,2113,5,0
8/p7/1b3p2/1P3p1k/P3pP1P/6K1/5P2/8,True,0.0,18,2083,5,0
8/p7/1b3p2/1P3p1k/P3pP1P/5PK1/8/8,False,0.0,12,2113,5,0
8/p7/5p2/bP3p1k/P3pP1P/5PK1/8/8,True,0.0,2,2083,5,0
8/p7/5p2/bP3p1k/P3PP1P/6K1/8/8,False,0.0,1,2113,5,0
8/p7/5p2/bP5k/P3pP1P/6K1/8/8,True,0.0,1,2083,5,0
8/p7/5p2/bP3P1k/P3p2P/6K1/8/8,False,0.0,6,2113,5,0
8/p1b5/5p2/1P3P1k/P3p2P/6K1/8/8,True,0.0,4,2083,3,0
8/p1b5/5p2/1P3P1k/P3p2P/8/5K2/8,False,0.0,2,2113,5,0
8/p1b5/5p2/1P3P2/P3p2k/8/5K2/8,True,0.0,0,2083,5,0
8/p1b5/5p2/1P3P2/P3p2k/4K3/8/8,False,0.0,5,2113,5,0
8/p1b5/5p2/1P3P2/P3p1k1/4K3/8/8,True,0.0,0,2083,5,0
8/p1b5/5p2/1P3P2/P3K1k1/8/8/8,False,0.0,2,2113,5,0
8/p1b5/5p2/1P3Pk1/P3K3/8/8/8,True,0.0,15,2083,5,0
8/p1b5/5p2/1P1K1Pk1/P7/8/8/8,False,0.0,1,2113,5,0
8/p1b5/5p2/1P1K1k2/P7/8/8/8,True,0.0,1,2083,5,0
8/p1b5/2K2p2/1P3k2/P7/8/8/8,False,0.0,2,2113,5,0
8/p7/1bK2p2/1P3k2/P7/8/8/8,True,0.0,2,2083,5,0
8/pK6/1b3p2/1P3k2/P7/8/8/8,False,0.0,1,2113,5,0
8/pK6/1b2kp2/1P6/P7/8/8/8,True,0.0,0,2083,5,0
8/p7/Kb2kp2/1P6/P7/8/8/8,False,0.0,4,2113,2,0
8/p7/Kb2k3/1P3p2/P7/8/8/8,True,0.0,0,2083,2,0
8/p7/Kb2k3/PP3p2/8/8/8/8,False,0.0,1,2113,2,0
8/p7/K3k3/PP3p2/3b4/8/8/8,True,0.0,9,2083,2,0
8/p7/KP2k3/P4p2/3b4/8/8/8,False,0.017,1,2113,5,0
8/8/Kp2k3/P4p2/3b4/8/8/8,True,0.0,0,2083,4,0
8/8/KP2k3/5p2/3b4/8/8/8,False,0.0,3,2113,5,0
8/8/Kb2k3/5p2/8/8/8/8,True,0.0,1,2083,3,0
8/8/1K2k3/5p2/8/8/8/8,False,0.0,2,2113,5,0
8/8/1K6/4kp2/8/8/8/8,True,0.0,1,2083,5,0
8/8/8/2K1kp2/8/8/8/8,False,0.0,0,2113,5,0
8/8/8/2K2p2/4k3/8/8/8,True,0.0,1,2083,5,0
8/8/8/5p2/2K1k3/8/8/8,False,0.0,1,2113,5,0
8/8/8/5p2/2K5/4k3/8/8,True,0.0,1,2083,5,0
8/8/8/5p2/8/2K1k3/8/8,False,0.0,1,2113,5,0
8/8/8/8/5p2/2K1k3/8/8,True,0.0,0,2083,5,0
8/8/8/8/5p2/4k3/2K5/8,False,0.0,0,2113,5,0
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,True,0.007999999999999993,,2148,5,0
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR,False,0.0,,2062,5,0
rnbqkb1r/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR,True,0.0,1,2148,5,0
rnbqkb1r/pppppppp/5n2/8/2PP4/8/PP2PPPP/RNBQKBNR,False,0.18800000000000003,1,2062,5,0
rnbqkb1r/p1pppppp/1p3n2/8/2PP4/8/PP2PPPP/RNBQKBNR,True,0.0,15,2148,5,0
rnbqkb1r/p1pppppp/1p3n2/8/2PP4/2N5/PP2PPPP/R1BQKBNR,False,0.0,2,2062,5,0
rn1qkb1r/pbpppppp/1p3n2/8/2PP4/2N5/PP2PPPP/R1BQKBNR,True,0.10999999999999999,7,2148,5,0
rn1qkb1r/pbpppppp/1p3n2/3P4/2P5/2N5/PP2PPPP/R1BQKBNR,False,0.0,6,2062,5,0
rn1qkb1r/pbpp1ppp/1p2pn2/3P4/2P5/2N5/PP2PPPP/R1BQKBNR,True,0.187,5,2148,5,0
rn1qkb1r/pbpp1ppp/1p2Pn2/8/2P5/2N5/PP2PPPP/R1BQKBNR,False,0.0,1,2062,5,0
rn1qkb1r/pbpp2pp/1p2pn2/8/2P5/2N5/PP2PPPP/R1BQKBNR,True,0.003,23,2148,5,0
rn1qkb1r/pbpp2pp/1p2pn2/6B1/2P5/2N5/PP2PPPP/R2QKBNR,False,0.025,2,2062,5,0
rn1qk2r/pbpp2pp/1p2pn2/6B1/1bP5/2N5/PP2PPPP/R2QKBNR,True,0.003,12,2148,5,0
rn1qk2r/pbpp2pp/1p2pn2/6B1/1bP5/2N1P3/PP3PPP/R2QKBNR,False,0.077,5,2062,5,0
rn1qk2r/pbpp2pp/1p2pn2/6B1/2P5/2b1P3/PP3PPP/R2QKBNR,True,0.0,2,2148,3,0
rn1qk2r/pbpp2pp/1p2pn2/6B1/2P5/2P1P3/P4PPP/R2QKBNR,False,0.001,2,2062,5,0
rn1q1rk1/pbpp2pp/1p2pn2/6B1/2P5/2P1P3/P4PPP/R2QKBNR,True,0.0,8,2148,5,0
